company_name,cik,has_exhibit21,exhibit21_url,subsidiary_count,reason
Nuwellis Inc,1506492,True,https://www.sec.gov/Archives/edgar/data/1506492/000114036125008124/ef20039019_ex21.htm,0,Exhibit-21 found
Nv5 Global Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
NVE Corp /New/,724910,False,,0,"10-K found, but Exhibit-21 missing"
Nvent Electric PLC,1720635,True,https://www.sec.gov/Archives/edgar/data/1720635/000172063525000018/ex21nventplcsubsidiaries20.htm,73,Exhibit-21 found
NVR Inc,906163,True,https://www.sec.gov/Archives/edgar/data/906163/000090616325000011/a2024ex21.htm,5,Exhibit-21 found
NXG Cushing Midstream Energy Fund,1400897,False,,0,No 10-K found
NXG Nextgen Infrastructure Income Fund,1506488,False,,0,No 10-K found
NXP Semiconductors NV,1413447,False,,0,"10-K found, but Exhibit-21 missing"
Nxu Inc,1722969,False,,0,"10-K found, but Exhibit-21 missing"
NYLI CBRE Global Infrastructure Megatrends Term Fund,1855066,False,,0,No 10-K found
